SYMBOL,NAME OF COMPANY
GSS Infotech Limited,GSS
G-TEC JAINX EDUCATION LIMITED,GTECJAINX
GTL Limited,GTL
GTL Infrastructure Limited,GTLINFRA
GTPL Hathway Limited,GTPL
Gufic Biosciences Limited,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Gas Limited,GUJGASLTD
Gujarat Raffia Industries Limited,GUJRAFFIA
Gulf Oil Lubricants India Limited,GULFOILLUB
GP Petroleums Limited,GULFPETRO
Gulshan Polyols Limited,GULPOLY
GVK Power & Infrastructure Limited,GVKPIL
GVP Infotech Limited,GVPTECH
GE Vernova T&D India Limited,GVT&D
Hindustan Aeronautics Limited,HAL
Happiest Minds Technologies Limited,HAPPSTMNDS
Happy Forgings Limited,HAPPYFORGE
Hardwyn India Limited,HARDWYN
Hariom Pipe Industries Limited,HARIOMPIPE
Harrisons  Malayalam Limited,HARRMALAYA
Harsha Engineers International Limited,HARSHA
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
HBL Power Systems Limited,HBLPOWER
HB Stockholdings Limited,HBSL
Hindustan Construction Company Limited,HCC
Healthcare Global Enterprises Limited,HCG
HCL Infosystems Limited,HCL-INSYS
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Housing Development and Infrastructure Limited,HDIL
Heads UP Ventures Limited,HEADSUP
HEC Infra Projects Limited,HECPROJECT
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Hemisphere Properties India Limited,HEMIPROP
Heranba Industries Limited,HERANBA
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Heubach Colorants India Limited,HEUBACHIND
Hexa Tradex Limited,HEXATRADEX
HFCL Limited,HFCL
H.G. Infra Engineering Limited,HGINFRA
Hinduja Global Solutions Limited,HGS
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himatsingka Seide Limited,HIMATSEIDE
Hindalco Industries Limited,HINDALCO
Hindustan Composites Limited,HINDCOMPOS
Hindcon Chemicals Limited,HINDCON
Hindustan Copper Limited,HINDCOPPER
Hindustan Motors Limited,HINDMOTORS
Hindusthan National Glass & Industries Limited,HINDNATGLS
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindware Home Innovation Limited,HINDWAREAP
Hindustan Zinc Limited,HINDZINC
Hind Rectifiers Limited,HIRECT
Hisar Metal Industries Limited,HISARMETAL
Hi-Tech Pipes Limited,HITECH
Hitech Corporation Limited,HITECHCORP
The Hi-Tech Gears Limited,HITECHGEAR
HLE Glascoat Limited,HLEGLAS
HLV LIMITED,HLVLTD
HMA Agro Industries Limited,HMAAGRO
HMT Limited,HMT
Hindustan Media Ventures Limited,HMVL
Hindustan Foods Limited,HNDFDS
Home First Finance Company India Limited,HOMEFIRST
Honasa Consumer Limited,HONASA
Honeywell Automation India Limited,HONAUT
Honda India Power Products Limited,HONDAPOWER
HOV Services Limited,HOVS
HP Adhesives Limited,HPAL
Hindprakash Industries Limited,HPIL
HPL Electric & Power Limited,HPL
Himadri Speciality Chemical Limited,HSCL
HT Media Limited,HTMEDIA
Hubtown Limited,HUBTOWN
Housing & Urban Development Corporation Limited,HUDCO
Huhtamaki India Limited,HUHTAMAKI
Hybrid Financial Services Limited,HYBRIDFIN
Hyundai Motor India Limited,HYUNDAI
ICDS Limited,ICDSLTD
Ice Make Refrigeration Limited,ICEMAKE
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
Indo Count Industries Limited,ICIL
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
Vodafone Idea Limited,IDEA
Ideaforge Technology Limited,IDEAFORGE
IDFC First Bank Limited,IDFCFIRSTB
Indiabulls Enterprises Limited,IEL
Indian Energy Exchange Limited,IEX
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
Igarashi Motors India Limited,IGARASHI
Indraprastha Gas Limited,IGL
IG Petrochemicals Limited,IGPL
IIFL Finance Limited,IIFL
IIFL Capital Services Limited,IIFLCAPS
Industrial Investment Trust Limited,IITL
IKIO Lighting Limited,IKIO
IL&FS Engineering and Construction Company Limited,IL&FSENGG
IL&FS Transportation Networks Limited,IL&FSTRANS
Imagicaaworld Entertainment Limited,IMAGICAA
Indian Metals & Ferro Alloys Limited,IMFA
India Motor Parts and Accessories Limited,IMPAL
Impex Ferro Tech Limited,IMPEXFERRO
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE
Indbank Merchant Banking Services Limited,INDBANK
Indegene Limited,INDGN
The Indian Hotels Company Limited,INDHOTEL
The India Cements Limited,INDIACEM
India Glycols Limited,INDIAGLYCO
Indiamart Intermesh Limited,INDIAMART
Indian Bank,INDIANB
Indian Card Clothing Company Limited,INDIANCARD
Indian Hume Pipe Company Limited,INDIANHUME
India Shelter Finance Corporation Limited,INDIASHLTR
InterGlobe Aviation Limited,INDIGO
Indigo Paints Limited,INDIGOPNTS
India Nippon Electricals Limited,INDNIPPON
Indo Amines Limited,INDOAMIN
Indo Borax & Chemicals Limited,INDOBORAX
Indoco Remedies Limited,INDOCO
Indo Rama Synthetics (India) Limited,INDORAMA
IndoStar Capital Finance Limited,INDOSTAR
Indo Tech Transformers Limited,INDOTECH
Indo Thai Securities Limited,INDOTHAI
Indo Us Biotech Limited,INDOUS
Indowind Energy Limited,INDOWIND
Indraprastha Medical Corporation Limited,INDRAMEDCO
Ind-Swift Laboratories Limited,INDSWFTLAB
Ind-Swift Limited,INDSWFTLTD
Indian Terrain Fashions Limited,INDTERRAIN
IndusInd Bank Limited,INDUSINDBK
Indus Towers Limited,INDUSTOWER
Infibeam Avenues Limited,INFIBEAM
InfoBeans Technologies Limited,INFOBEAN
Infomedia Press Limited,INFOMEDIA
Infosys Limited,INFY
Ingersoll Rand (India) Limited,INGERRAND
Innova Captab Limited,INNOVACAP
Innovana Thinklabs Limited,INNOVANA
Inox Green Energy Services Limited,INOXGREEN
INOX India Limited,INOXINDIA
Inox Wind Limited,INOXWIND
Insecticides (India) Limited,INSECTICID
Inspirisys Solutions Limited,INSPIRISYS
Intellect Design Arena Limited,INTELLECT
Intense Technologies Limited,INTENTECH
Interarch Building Products Limited,INTERARCH
International Conveyors Limited,INTLCONV
Inventure Growth & Securities Limited,INVENTURE
Indian Overseas Bank,IOB
Indian Oil Corporation Limited,IOC
IOL Chemicals and Pharmaceuticals Limited,IOLCP
ION Exchange (India) Limited,IONEXCHANG
IPCA Laboratories Limited,IPCALAB
India Pesticides Limited,IPL
IRB Infrastructure Developers Limited,IRB
Ircon International Limited,IRCON
Indian Railway Catering And Tourism Corporation Limited,IRCTC
Indian Renewable Energy Development Agency Limited,IREDA
Indian Railway Finance Corporation Limited,IRFC
Iris Business Services Limited,IRIS
Iris Clothings Limited,IRISDOREME
IRM Energy Limited,IRMENERGY
ICICI Securities Limited,ISEC
Intrasoft Technologies Limited,ISFT
Isgec Heavy Engineering Limited,ISGEC
ITC Limited,ITC
India Tourism Development Corporation Limited,ITDC
ITD Cementation India Limited,ITDCEM
ITI Limited,ITI
IL&FS Investment Managers Limited,IVC
IVP Limited,IVP
Inox Wind Energy Limited,IWEL
Le Travenues Technology Limited,IXIGO
IZMO Limited,IZMO
The Jammu & Kashmir Bank Limited,J&KBANK
Jagran Prakashan Limited,JAGRAN
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM
Jai Balaji Industries Limited,JAIBALAJI
Jai Corp Limited,JAICORPLTD
Nandani Creation Limited,JAIPURKURT
Jamna Auto Industries Limited,JAMNAAUTO
Jash Engineering Limited,JASH
Jayant Agro Organics Limited,JAYAGROGN
Jay Bharat Maruti Limited,JAYBARMARU
Jayaswal Neco Industries Limited,JAYNECOIND
Jayshree Tea & Industries Limited,JAYSREETEA
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM
JBM Auto Limited,JBMA
Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC
Jet Freight Logistics Limited,JETFREIGHT
J.G.Chemicals Limited,JGCHEM
JHS Svendgaard Laboratories Limited,JHS
Jindal Photo Limited,JINDALPHOT
Jindal Poly Films Limited,JINDALPOLY
Jindal Saw Limited,JINDALSAW
Jindal Steel & Power Limited,JINDALSTEL
Jindal Drilling And Industries Limited,JINDRILL
Jindal Worldwide Limited,JINDWORLD
Jio Financial Services Limited,JIOFIN
Jain Irrigation Systems Limited,JISLDVREQS
Jain Irrigation Systems Limited,JISLJALEQS
JITF Infralogistics Limited,JITFINFRA
JK Cement Limited,JKCEMENT
J.Kumar Infraprojects Limited,JKIL
JK Lakshmi Cement Limited,JKLAKSHMI
JK Paper Limited,JKPAPER
JK Tyre & Industries Limited,JKTYRE
Jupiter Life Line Hospitals Limited,JLHL
Jullundur Motor Agency (Delhi) Limited,JMA
JM Financial Limited,JMFINANCIL
JNK India Limited,JNKINDIA
Jocil Limited,JOCIL
Jaiprakash Associates Limited,JPASSOCIAT
Jindal Poly Investment and Finance Company Limited,JPOLYINVST
Jaiprakash Power Ventures Limited,JPPOWER
Jana Small Finance Bank Limited,JSFB
Jindal Stainless Limited,JSL
JSW Energy Limited,JSWENERGY
JSW Holdings Limited,JSWHL
JSW Infrastructure Limited,JSWINFRA
JSW Steel Limited,JSWSTEEL
Jtekt India Limited,JTEKTINDIA
JTL INDUSTRIES LIMITED,JTLIND
Jubilant Foodworks Limited,JUBLFOOD
Jubilant Ingrevia Limited,JUBLINGREA
Jubilant Pharmova Limited,JUBLPHARMA
Juniper Hotels Limited,JUNIPER
Just Dial Limited,JUSTDIAL
Jupiter Wagons Limited,JWL
Jyothy Labs Limited,JYOTHYLAB
Jyoti CNC Automation Limited,JYOTICNC
Jyoti Structures Limited,JYOTISTRUC
Kabra Extrusion Technik Limited,KABRAEXTRU
Kajaria Ceramics Limited,KAJARIACER
Kakatiya Cement Sugar & Industries Limited,KAKATCEM
Sai Silks (Kalamandir) Limited,KALAMANDIR
Kalyani Commercials Limited,KALYANI
Kalyani Forge Limited,KALYANIFRG
Kalyan Jewellers India Limited,KALYANKJIL
Kamat Hotels (I) Limited,KAMATHOTEL
Kamdhenu Limited,KAMDHENU
Kamdhenu Ventures Limited,KAMOPAINTS
Kanani Industries Limited,KANANIIND
Kanoria Chemicals & Industries Limited,KANORICHEM
Kanpur Plastipack Limited,KANPRPLA
Kansai Nerolac Paints Limited,KANSAINER
Kapston Services Limited,KAPSTON
Karma Energy Limited,KARMAENG
Karur Vysya Bank Limited,KARURVYSYA
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA
Kavveri Telecom Products Limited,KAVVERITEL
Kaya Limited,KAYA
Kaynes Technology India Limited,KAYNES
KBC Global Limited,KBCGLOBAL
KCP Limited,KCP
KCP Sugar and Industries Corporation Limited,KCPSUGIND
KDDL Limited,KDDL
KEC International Limited,KEC
Kirloskar Electric Company Limited,KECL
DSJ Keep Learning Limited,KEEPLEARN
KEI Industries Limited,KEI
Kellton Tech Solutions Limited,KELLTONTEC
Kernex Microsystems (India) Limited,KERNEX
Kesoram Industries Limited,KESORAMIND
Keynote Financial Services Limited,KEYFINSERV
Kfin Technologies Limited,KFINTECH
Khadim India Limited,KHADIM
Khaitan Chemicals & Fertilizers Limited,KHAICHEM
Khaitan (India) Limited,KHAITANLTD
Khandwala Securities Limited,KHANDSE
Kalyani Investment Company Limited,KICL
Kilitch Drugs (India) Limited,KILITCH
Krishna Institute of Medical Sciences Limited,KIMS
Kingfa Science & Technology (India) Limited,KINGFA
KIOCL Limited,KIOCL
Kiri Industries Limited,KIRIINDUS
Kirloskar Brothers Limited,KIRLOSBROS
Kirloskar Oil Engines Limited,KIRLOSENG
Kirloskar Industries Limited,KIRLOSIND
Kirloskar Pneumatic Company Limited,KIRLPNU
Kitex Garments Limited,KITEX
Kewal Kiran Clothing Limited,KKCL
Knowledge Marine & Engineering Works Limited,KMEW
K.M.Sugar Mills Limited,KMSUGAR
KNR Constructions Limited,KNRCON
Kohinoor Foods Limited,KOHINOOR
Kokuyo Camlin Limited,KOKUYOCMLN
Kolte - Patil Developers Limited,KOLTEPATIL
Kopran Limited,KOPRAN
Kotak Mahindra Bank Limited,KOTAKBANK
Kothari Sugars And Chemicals Limited,KOTARISUG
Kothari Petrochemicals Limited,KOTHARIPET
Kothari Products Limited,KOTHARIPRO
K.P. Energy Limited,KPEL
KPI Green Energy Limited,KPIGREEN
Kalpataru Projects International Limited,KPIL
KPIT Technologies Limited,KPITTECH
K.P.R. Mill Limited,KPRMILL
KRBL Limited,KRBL
Krebs Biochemicals and Industries Limited,KREBSBIO
Kridhan Infra Limited,KRIDHANINF
Krishana Phoschem Limited,KRISHANA
Kriti Industries (India) Limited,KRITI
Kritika Wires Limited,KRITIKA
Kriti Nutrients Limited,KRITINUT
KRN Heat Exchanger and Refrigeration Limited,KRN
Kronox Lab Sciences Limited,KRONOX
Kross Limited,KROSS
Krsnaa Diagnostics Limited,KRSNAA
Krystal Integrated Services Limited,KRYSTAL
Ksb Limited,KSB
Kaveri Seed Company Limited,KSCL
Kshitij Polyline Limited,KSHITIJPOL
Kalyani Steels Limited,KSL
Ksolves India Limited,KSOLVES
The Karnataka Bank Limited,KTKBANK
Kuantum Papers Limited,KUANTUM
Lagnam Spintex Limited,LAGNAM
Lakshmi Precision Screws Limited,LAKPRE
Lorenzini Apparels Limited,LAL
Dr. Lal Path Labs Ltd.,LALPATHLAB
Lambodhara Textiles Limited,LAMBODHARA
Lancor Holdings Limited,LANCORHOL
Landmark Cars Limited,LANDMARK
La Opala RG Limited,LAOPALA
Lasa Supergenerics Limited,LASA
Latent View Analytics Limited,LATENTVIEW
Latteys Industries Limited,LATTEYS
Laurus Labs Limited,LAURUSLABS
Laxmi Cotspin Limited,LAXMICOT
LCC Infotech Limited,LCCINFOTEC
Lemon Tree Hotels Limited,LEMONTREE
Lexus Granito (India) Limited,LEXUS
Lakshmi Finance & Industrial Corporation Limited,LFIC
LG Balakrishnan & Bros Limited,LGBBROSLTD
Laxmi Goldorna House Limited,LGHL
Libas Consumer Products Limited,LIBAS
Liberty Shoes Limited,LIBERTSHOE
LIC Housing Finance Limited,LICHSGFIN
Life Insurance Corporation Of India,LICI
Likhitha Infrastructure Limited,LIKHITHA
Linc Limited,LINC
Lincoln Pharmaceuticals Limited,LINCOLN
Linde India Limited,LINDEINDIA
LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG
Lloyds Enterprises Limited,LLOYDSENT
Lloyds Metals And Energy Limited,LLOYDSME
LMW Limited,LMW
Macrotech Developers Limited,LODHA
Lokesh Machines Limited,LOKESHMACH
Lords Chloro Alkali Limited,LORDSCHLO
Lotus Eye Hospital and Institute Limited,LOTUSEYE
Lovable Lingerie Limited,LOVABLE
Loyal Textile Mills Limited,LOYALTEX
Landmark Property Development Company Limited,LPDC
Larsen & Toubro Limited,LT
L&T Finance Limited,LTF
LT Foods Limited,LTFOODS
LTIMindtree Limited,LTIM
L&T Technology Services Limited,LTTS
Lumax Industries Limited,LUMAXIND
Lumax Auto Technologies Limited,LUMAXTECH
Lupin Limited,LUPIN
Lux Industries Limited,LUXIND
Laxmi Organic Industries Limited,LXCHEM
Lyka Labs Limited,LYKALABS
Lypsa Gems & Jewellery Limited,LYPSAGEMS
Mahindra & Mahindra Limited,M&M
Mahindra & Mahindra Financial Services Limited,M&MFIN
Maan Aluminium Limited,MAANALU
Macpower CNC Machines Limited,MACPOWER
Madhav Marbles and Granites Limited,MADHAV
Madhucon Projects Limited,MADHUCON
Madras Fertilizers Limited,MADRASFERT
Magadh Sugar & Energy Limited,MAGADSUGAR
Magnum Ventures Limited,MAGNUM
Bank of Maharashtra,MAHABANK
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD
Mahamaya Steel Industries Limited,MAHASTEEL
Mahindra EPC Irrigation Limited,MAHEPC
Maheshwari Logistics Limited,MAHESHWARI
Mahindra Lifespace Developers Limited,MAHLIFE
Mahindra Logistics Limited,MAHLOG
Maharashtra Scooters Limited,MAHSCOOTER
Maharashtra Seamless Limited,MAHSEAMLES
Maithan Alloys Limited,MAITHANALL
Mallcom (India) Limited,MALLCOM
Malu Paper Mills Limited,MALUPAPER
Manaksia Aluminium Company Limited,MANAKALUCO
Manaksia Coated Metals & Industries Limited,MANAKCOAT
Manaksia Limited,MANAKSIA
Manaksia Steels Limited,MANAKSTEEL
Manali Petrochemicals Limited,MANALIPETC
Manappuram Finance Limited,MANAPPURAM
Manba Finance Limited,MANBA
Mangal Credit and Fincorp Limited,MANCREDIT
Mangalam Drugs And Organics Limited,MANGALAM
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER
Mangalam Cement Limited,MANGLMCEM
Man Industries (India) Limited,MANINDS
Man Infraconstruction Limited,MANINFRA
Mankind Pharma Limited,MANKIND
Manomay Tex India Limited,MANOMAY
Manorama Industries Limited,MANORAMA
Mangalam Organics Limited,MANORG
Manugraph India Limited,MANUGRAPH
Vedant Fashions Limited,MANYAVAR
C.E. Info Systems Limited,MAPMYINDIA
Maral Overseas Limited,MARALOVER
Marathon Nextgen Realty Limited,MARATHON
Marico Limited,MARICO
Marine Electricals (India) Limited,MARINE
Marksans Pharma Limited,MARKSANS
Marshall Machines Limited,MARSHALL
Maruti Suzuki India Limited,MARUTI
MAS Financial Services Limited,MASFIN
Mask Investments Limited,MASKINVEST
Mastek Limited,MASTEK
Master Trust Limited,MASTERTR
Matrimony.Com Limited,MATRIMONY
Mawana Sugars Limited,MAWANASUG
Max Estates Limited,MAXESTATES
Max Healthcare Institute Limited,MAXHEALTH
Max India Limited,MAXIND
Mayur Uniquoters Ltd,MAYURUNIQ
Mazda Limited,MAZDA
Mazagon Dock Shipbuilders Limited,MAZDOCK
Madhya Bharat Agro Products Limited,MBAPL
Mcnally Bharat Engineering Company Limited,MBECL
MBL Infrastructure Limited,MBLINFRA
Madhav Copper Limited,MCL
Mcleod Russel India Limited,MCLEODRUSS
Multi Commodity Exchange of India Limited,MCX
Global Health Limited,MEDANTA
Medi Assist Healthcare Services Limited,MEDIASSIST
Medicamen Biotech Limited,MEDICAMEQ
Medico Remedies Limited,MEDICO
Medplus Health Services Limited,MEDPLUS
Megasoft Limited,MEGASOFT
Megastar Foods Limited,MEGASTAR
Menon Bearings Limited,MENONBE
MEP Infrastructure Developers Limited,MEP
Metro Brands Limited,METROBRAND
Metropolis Healthcare Limited,METROPOLIS
Mahalaxmi Fabric Mills Limited,MFML
Max Financial Services Limited,MFSL
Mangalam Global Enterprise Limited,MGEL
Mahanagar Gas Limited,MGL
Mahalaxmi Rubtech Limited,MHLXMIRU
Mahindra Holidays & Resorts India Limited,MHRIL
MIC Electronics Limited,MICEL
Mishra Dhatu Nigam Limited,MIDHANI
Minda Corporation Limited,MINDACORP
Mindteck (India) Limited,MINDTECK
MIRC Electronics Limited,MIRCELECTR
Mirza International Limited,MIRZAINT
MITCON Consultancy & Engineering Services Limited,MITCON
Mittal Life Style Limited,MITTAL
M K Proteins Limited,MKPL
MM Forgings Limited,MMFL
MMP Industries Limited,MMP
MMTC Limited,MMTC
Modi Rubber Limited,MODIRUBBER
MODISON LIMITED,MODISONLTD
Modern Threads (India) Limited,MODTHREAD
Mohit Industries Limited,MOHITIND
MOIL Limited,MOIL
Moksh Ornaments Limited,MOKSH
Meghmani Organics Limited,MOL
Mold-Tek Technologies Limited,MOLDTECH
Mold-Tek Packaging Limited,MOLDTKPAC
Monarch Networth Capital Limited,MONARCH
Monte Carlo Fashions Limited,MONTECARLO
Morarjee Textiles Limited,MORARJEE
Morepen Laboratories Limited,MOREPENLAB
Samvardhana Motherson International Limited,MOTHERSON
Motilal Oswal Financial Services Limited,MOTILALOFS
Motisons Jewellers Limited,MOTISONS
The Motor & General Finance Limited,MOTOGENFIN
MphasiS Limited,MPHASIS
MPS Limited,MPSLTD
MRF Limited,MRF
MRO-TEK Realty Limited,MRO-TEK
Mangalore Refinery and Petrochemicals Limited,MRPL
MSP Steel & Power Limited,MSPL
Mstc Limited,MSTCLTD
Motherson Sumi Wiring India Limited,MSUMI
Mtar Technologies Limited,MTARTECH
MT Educare Limited,MTEDUCARE
Mahanagar Telephone Nigam Limited,MTNL
Mufin Green Finance Limited,MUFIN
Credo Brands Marketing Limited,MUFTI
Mukand Limited,MUKANDLTD
Mukka Proteins Limited,MUKKA
Mukta Arts Limited,MUKTAARTS
Munjal Auto Industries Limited,MUNJALAU
Munjal Showa Limited,MUNJALSHOW
Murudeshwar Ceramics Limited,MURUDCERA
Muthoot Capital Services Limited,MUTHOOTCAP
Muthoot Finance Limited,MUTHOOTFIN
Muthoot Microfin Limited,MUTHOOTMF
Manoj Vaibhav Gems N Jewellers Limited,MVGJL
NACL Industries Limited,NACLIND
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
Nagreeka Exports Limited,NAGREEKEXP
Nahar Capital and Financial Services Limited,NAHARCAP
Nahar Industrial Enterprises Limited,NAHARINDUS
Nahar Poly Films Limited,NAHARPOLY
Nahar Spinning Mills Limited,NAHARSPING
Nippon Life India Asset Management Limited,NAM-INDIA
Narmada Agrobase Limited,NARMADA
Natco Pharma Limited,NATCOPHARM
Nath Bio-Genes (India) Limited,NATHBIOGEN
National Aluminium Company Limited,NATIONALUM
Info Edge (India) Limited,NAUKRI
NAVA LIMITED,NAVA
Navin Fluorine International Limited,NAVINFLUOR
Navkar Corporation Limited,NAVKARCORP
Navneet Education Limited,NAVNETEDUL
Nazara Technologies Limited,NAZARA
NBCC (India) Limited,NBCC
N. B. I. Industrial Finance Company Limited,NBIFIN
NCC Limited,NCC
NCL Industries Limited,NCLIND
Naga Dhunseri Group Limited,NDGL
Nandan Denim Limited,NDL
NDL Ventures Limited,NDLVENTURE
Ndr Auto Components Limited,NDRAUTO
New Delhi Television Limited,NDTV
North Eastern Carrying Corporation Limited,NECCLTD
Nectar Lifesciences Limited,NECLIFE
Nelcast Limited,NELCAST
NELCO Limited,NELCO
Neogen Chemicals Limited,NEOGEN
Nesco Limited,NESCO
Nestle India Limited,NESTLEIND
Netweb Technologies India Limited,NETWEB
Network18 Media & Investments Limited,NETWORK18
Neuland Laboratories Limited,NEULANDLAB
Newgen Software Technologies Limited,NEWGEN
Next Mediaworks Limited,NEXTMEDIA
National Fertilizers Limited,NFL
Nakoda Group of Industries Limited,NGIL
NGL Fine-Chem Limited,NGLFINE
Narayana Hrudayalaya Ltd.,NH
NHPC Limited,NHPC
The New India Assurance Company Limited,NIACL
NRB Industrial Bearings Limited,NIBL
NIIT Limited,NIITLTD
NIIT Learning Systems Limited,NIITMTS
Nila Infrastructures Limited,NILAINFRA
Nila Spaces Limited,NILASPACES
Nilkamal Limited,NILKAMAL
NINtec Systems Limited,NINSYS
Indo-National Limited,NIPPOBATRY
Niraj Cement Structurals Limited,NIRAJ
Niraj Ispat Industries Limited,NIRAJISPAT
Nitco Limited,NITCO
Nitin Spinners Limited,NITINSPIN
Nitiraj Engineers Limited,NITIRAJ
Niva Bupa Health Insurance Company Limited,NIVABUPA
NK Industries Limited,NKIND
NLC India Limited,NLCINDIA
NMDC Limited,NMDC
NOCIL Limited,NOCIL
Noida Toll Bridge Company Limited,NOIDATOLL
Norben Tea & Exports Limited,NORBTEAEXP
Northern Arc Capital Limited,NORTHARC
Nova Agritech Limited,NOVAAGRI
N R Agarwal Industries Limited,NRAIL
NRB Bearing Limited,NRBBEARING
Nupur Recyclers Limited,NRL
Nalwa Sons Investments Limited,NSIL
NMDC Steel Limited,NSLNISP
NTPC Limited,NTPC
NTPC Green Energy Limited,NTPCGREEN
Nucleus Software Exports Limited,NUCLEUS
Nureca Limited,NURECA
Nuvama Wealth Management Limited,NUVAMA
Nuvoco Vistas Corporation Limited,NUVOCO
FSN E-Commerce Ventures Limited,NYKAA
Oriental Aromatics Limited,OAL
Orissa Bengal Carrier Limited,OBCL
Oberoi Realty Limited,OBEROIRLTY
Oriental Carbon & Chemicals Limited,OCCL
OCCL Limited,OCCLLTD
Odigma Consultancy Solutions Limited,ODIGMA
Oracle Financial Services Software Limited,OFSS
Oil India Limited,OIL
Oil Country Tubular Limited,OILCOUNTUB
Ola Electric Mobility Limited,OLAELEC
Olectra Greentech Limited,OLECTRA
Omax Autos Limited,OMAXAUTO
Omaxe Limited,OMAXE
OM INFRA LIMITED,OMINFRAL
Omkar Speciality Chemicals Limited,OMKARCHEM
Onelife Capital Advisors Limited,ONELIFECAP
One Point One Solutions Limited,ONEPOINT
Oil & Natural Gas Corporation Limited,ONGC
OnMobile Global Limited,ONMOBILE
Onward Technologies Limited,ONWARDTEC
Optiemus Infracom Limited,OPTIEMUS
Orbit Exports Limited,ORBTEXP
Orchid Pharma Limited,ORCHPHARMA
Oricon Enterprises Limited,ORICONENT
Oriental Trimex Limited,ORIENTALTL
Orient Bell Limited,ORIENTBELL
Orient Cement Limited,ORIENTCEM
ORIENT CERATECH LIMITED,ORIENTCER
Orient Electric Limited,ORIENTELEC
Oriental Hotels Limited,ORIENTHOT
Orient Press Limited,ORIENTLTD
Orient Paper & Industries Limited,ORIENTPPR
Orient Technologies Limited,ORIENTTECH
The Orissa Minerals Development Company Limited,ORISSAMINE
Ortel Communications Limited,ORTEL
ORTIN GLOBAL LIMITED,ORTINGLOBE
Osia Hyper Retail Limited,OSIAHYPER
Oswal Agro Mills Limited,OSWALAGRO
Oswal Greentech Limited,OSWALGREEN
ShreeOswal Seeds And Chemicals Limited,OSWALSEEDS
Page Industries Limited,PAGEIND
Paisalo Digital Limited,PAISALO
PAKKA LIMITED,PAKKA
Palash Securities Limited,PALASHSECU
Palred Technologies Limited,PALREDTEC
Panacea Biotec Limited,PANACEABIO
Panache Digilife Limited,PANACHE
Panama Petrochem Limited,PANAMAPET
Pansari Developers Limited,PANSARI
Par Drugs And Chemicals Limited,PAR
Paramount Communications Limited,PARACABLES
Paradeep Phosphates Limited,PARADEEP
Parag Milk Foods Limited,PARAGMILK
Paras Defence and Space Technologies Limited,PARAS
Paras Petrofils Limited,PARASPETRO
Apeejay Surrendra Park Hotels Limited,PARKHOTELS
Parsvnath Developers Limited,PARSVNATH
Pasupati Acrylon Limited,PASUPTAC
Patanjali Foods Limited,PATANJALI
Patel Engineering Limited,PATELENG
Patel Integrated Logistics Limited,PATINTLOG
Pavna Industries Limited,PAVNAIND
One 97 Communications Limited,PAYTM
PCBL LIMITED,PCBL
PC Jeweller Limited,PCJEWELLER
Pudumjee Paper Products Limited,PDMJEPAPER
PDS Limited,PDSL
Pearl Polymers Limited,PEARLPOLY
Piramal Enterprises Limited,PEL
Pennar Industries Limited,PENIND
Peninsula Land Limited,PENINLAND
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Power Finance Corporation Limited,PFC
Pfizer Limited,PFIZER
Prime Focus Limited,PFOCUS
PTC India Financial Services Limited,PFS
PG Electroplast Limited,PGEL
Procter & Gamble Hygiene and Health Care Limited,PGHH
Procter & Gamble Health Limited,PGHL
Pearl Global Industries Limited,PGIL
The Phoenix Mills Limited,PHOENIXLTD
Pidilite Industries Limited,PIDILITIND
Power & Instrumentation (Gujarat) Limited,PIGL
PI Industries Limited,PIIND
